"source_desc" "sector_desc" "group_desc" "commodity_desc" "class_desc" "prodn_practice_desc" "util_practice_desc" "statisticcat_desc" "unit_desc" "short_desc" "domain_desc" "domaincat_desc" "agg_level_desc" "state_ansi" "state_fips_code" "state_alpha" "state_name" "asd_code" "asd_desc" "county_ansi" "county_code" "county_name" "region_desc" "zip_5" "watershed_code" "watershed_desc" "congr_district_code" "country_code" "country_name" "location_desc" "year" "freq_desc" "begin_code" "end_code" "reference_period_desc" "week_ending" "load_time" "Value" "CV (%)"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "01" "01" "AL" "ALABAMA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ALABAMA" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 57850 "18.3"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "02" "02" "AK" "ALASKA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ALASKA" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 1502 "1.3"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "04" "04" "AZ" "ARIZONA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ARIZONA" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 0 "(D)"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "05" "05" "AR" "ARKANSAS" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "ARKANSAS" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 130774 "15.5"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "06" "06" "CA" "CALIFORNIA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "CALIFORNIA" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 96456 "10.1"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "08" "08" "CO" "COLORADO" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "COLORADO" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 737663 "2.2"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "09" "09" "CT" "CONNECTICUT" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "CONNECTICUT" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 3538 "12.8"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "10" "10" "DE" "DELAWARE" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "DELAWARE" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 5980 "58.6"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "12" "12" "FL" "FLORIDA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "FLORIDA" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 15567 "23.6"
"CENSUS" "ANIMALS & PRODUCTS" "LIVESTOCK" "HOGS" "ALL CLASSES" "ALL PRODUCTION PRACTICES" "ALL UTILIZATION PRACTICES" "INVENTORY" "HEAD" "HOGS - INVENTORY" "TOTAL" "NOT SPECIFIED" "STATE" "13" "13" "GA" "GEORGIA" "" "" "" "" "" "" "" "00000000" "" "" "9000" "UNITED STATES" "GEORGIA" "2017" "POINT IN TIME" "12" "12" "END OF DEC" "" "2018-02-01 00:00:00" 81197 "6.1"
